epoch;acc;loss;val_acc;val_loss
0;0.7581354535378769;0.580537304304199;0.4050221641931787;9.589909692986852
1;0.7604192847405262;0.5529194859405387;0.5949778662474504;6.457019319210306
2;0.7727076603729757;0.5317799225449562;0.5982956707125401;6.231726852090179
3;0.7645267723141956;0.518022195231087;0.5927508465032282;4.992334264067814
4;0.7790308051262508;0.5011076383523786;0.5950005904522393;6.456657354025228
5;0.8055277925254323;0.4445197255828004;0.6496080197558973;2.9724235848098597
6;0.7504829144438225;0.5651729180418407;0.59497786585126;6.45701932660586
7;0.7703215680587239;0.5398216266597744;0.6779002577198485;0.64622250164101
8;0.7830701185888342;0.48800516616074335;0.6209067367732612;3.994494019266069
9;0.8099420633678774;0.4333108745383283;0.522258851869772;1.616811999189977
10;0.829934108534627;0.3912043316699729;0.7088058348772621;0.6274891175230638
11;0.8340643207643021;0.3855914840504989;0.7744574614606544;0.47767832263357707
